method,num_layers,num_neurons,acc,precision,recall,roc,n_estimators,max_depth
gnn,2.0,64.0,0.797512259299127,[0.51601423 0.86255259 0.91273736],[0.7885792  0.83616587 0.78944455],0.9343762509782287,,
gnn,2.0,128.0,0.803372802296376,[0.51943942 0.88156973 0.91274884],[0.78110129 0.85520054 0.7953497 ],0.938119151097183,,
gnn,2.0,256.0,0.8142566678626959,[0.53183692 0.91161432 0.91474319],[0.78925901 0.84840245 0.81177339],0.9388897359837607,,
gnn,2.0,512.0,0.807439301518957,[0.55102041 0.81684748 0.91575169],[0.77090415 0.87015636 0.80033216],0.9408000046751505,,
gnn,3.0,64.0,0.7951202009329028,[0.51500224 0.85316632 0.91068003],[0.7817811  0.83344663 0.78833733],0.9324102365550392,,
gnn,3.0,128.0,0.7942829805047243,[0.51348999 0.85075653 0.91646778],[0.80217539 0.84092454 0.77947961],0.9377216796834996,,
gnn,3.0,256.0,0.8246621217557708,[0.55987873 0.95454545 0.89533981],[0.7532291  0.79945615 0.850895  ],0.9365261304114761,,
gnn,3.0,512.0,0.7673723238847028,[0.49811794 0.74285714 0.93009479],[0.8096533  0.88375255 0.72430338],0.936787347958417,,
gnn,4.0,64.0,0.7586413108479847,[0.45338491 0.85027855 0.91013825],[0.79673691 0.83004759 0.72891677],0.9228848416337078,,
gnn,4.0,128.0,0.8313598851811984,[0.58342923 0.9821883  0.87784717],[0.68932699 0.78721958 0.88189703],0.9320904990790181,,
gnn,4.0,256.0,0.7802894390623131,[0.51138901 0.76686391 0.92125451],[0.77838205 0.88103331 0.75346005],0.9337982074630822,,
gnn,4.0,512.0,0.7886616433440976,[0.52503445 0.78810409 0.91444201],[0.77702243 0.86471788 0.77117549],0.9331804358336102,,
tree,,,0.836961350510884,[0.55159475 0.96277916 0.91406844],[0.72772277 0.96039604 0.83298683],0.9557077352514075,400,4
tree,,,0.8396268325188805,[0.57291667 0.93493976 0.90486726],[0.68069307 0.96039604 0.85031185],0.9538097137352114,400,8
tree,,,0.8400710795202132,[0.56762295 0.94647202 0.90606509],[0.68564356 0.96287129 0.84892585],0.9534177071244515,400,10
tree,,,0.838738338516215,[0.57234043 0.93045564 0.90249267],[0.66584158 0.96039604 0.85308385],0.9542252426957359,400,15
tree,,,0.8449577965348734,[0.57199211 0.96039604 0.91343284],[0.71782178 0.96039604 0.84823285],0.9561482273410026,600,4
tree,,,0.8396268325188805,[0.57291667 0.93493976 0.90486726],[0.68069307 0.96039604 0.85031185],0.9538097137352114,600,8
tree,,,0.8445135495335406,[0.58940397 0.93946731 0.89963899],[0.66089109 0.96039604 0.86347886],0.9530974854319378,600,10
tree,,,0.838738338516215,[0.57234043 0.93045564 0.90249267],[0.66584158 0.96039604 0.85308385],0.9542252426957359,600,15
tree,,,0.8476232785428698,[0.58316222 0.95110024 0.91143911],[0.7029703  0.96287129 0.85585586],0.9553518613475971,800,4
tree,,,0.8396268325188805,[0.57291667 0.93493976 0.90486726],[0.68069307 0.96039604 0.85031185],0.9538097137352114,800,8
tree,,,0.8445135495335406,[0.58940397 0.93946731 0.89963899],[0.66089109 0.96039604 0.86347886],0.9530974854319378,800,10
tree,,,0.838738338516215,[0.57234043 0.93045564 0.90249267],[0.66584158 0.96039604 0.85308385],0.9542252426957359,800,15
tree,,,0.850733007552199,[0.59408034 0.94647202 0.91075347],[0.69554455 0.96287129 0.86278586],0.9551872735414791,1000,4
tree,,,0.8396268325188805,[0.57291667 0.93493976 0.90486726],[0.68069307 0.96039604 0.85031185],0.9538097137352114,1000,8
tree,,,0.8445135495335406,[0.58940397 0.93946731 0.89963899],[0.66089109 0.96039604 0.86347886],0.9530974854319378,1000,10
tree,,,0.838738338516215,[0.57234043 0.93045564 0.90249267],[0.66584158 0.96039604 0.85308385],0.9542252426957359,1000,15